"Year","GDP","Population","CPI","Region","NationalCPI","Employment","rGDPpc","rGDPwk","GDPpc","rGDP","Inflation"
1867,373.028175947337,3460887.04035145,3.5240023179871,"Canada",3.5240023179871,NA,3058.56719820874,NA,107.783978962069,10585.3555783247,NA
1868,378.198650231332,3508857.75301009,3.5240023179871,"Canada",3.5240023179871,NA,3058.56719820873,NA,107.783978962069,10732.0772265371,NA
1869,384.015433800825,3562824.80475106,3.5240023179871,"Canada",3.5240023179871,NA,3058.56719820873,NA,107.783978962069,10897.139080776,NA
1870,390.478526655818,3622788.19557436,3.5240023179871,"Canada",3.5240023179871,NA,3058.56719820874,NA,107.783978962069,11080.5411410415,NA
1871,421.246013066816,3686749.14578588,3.62845055668236,"Canada",3.62845055668236,NA,3148.98800001754,NA,114.259472616497,11609.5288191546,2.96390947764529
1872,456.519967065796,3751709.48584445,3.96450225229915,"Canada",3.96450225229915,NA,3069.31814615851,NA,121.683187034681,11515.1900040174,9.26157571578028
1873,497.873314259345,3823665.55483241,3.93271373209165,"Canada",3.93271373209165,NA,3310.90420606385,NA,130.208384368273,12659.7903680761,-0.801828784157199
1874,495.602217909795,3892623.45427921,3.82826549339639,"Canada",3.82826549339639,NA,3325.74385529796,NA,127.318304411123,12945.8685340578,-2.65588206542832
1875,461.825656425327,3951587.45525545,3.66023907688985,"Canada",3.66023907688985,NA,3192.9859306211,NA,116.870918752189,12617.3631482495,-4.38910041104457
1876,430.405931557088,4006553.89684348,3.66023907688985,"Canada",3.66023907688985,NA,2934.93039039293,NA,107.425469028678,11758.9567925932,0
1877,443.701797197192,4061520.3384315,3.5240023179871,"Canada",3.5240023179871,NA,3100.0333791579,NA,109.245248139898,12590.8486192663,-3.72207268544099
1878,418.135886964758,4117486.16986658,3.45588365418665,"Canada",3.45588365418665,NA,2938.50328632276,NA,101.551254749766,12099.2466415415,-1.93299145839834
1879,454.348901027372,4182446.50992515,3.42409513397915,"Canada",3.42409513397915,NA,3172.5849817241,NA,108.632327980568,13269.1669842529,-0.919837685188984
1880,491.938862944162,4252403.799219,3.5240023179871,"Canada",3.5240023179871,NA,3282.76995591395,NA,115.684889340592,13959.6634324905,2.917768931608
1881,580.470791878173,4322361.08851285,3.67947301684974,"Canada",3.67947301684974,NA,3649.83897513348,NA,134.294840248501,15775.9219654546,4.41176494320363
1882,631.706725524008,4372330.5808656,3.9126790651437,"Canada",3.9126790651437,NA,3692.56614516803,NA,144.478262528573,16145.1198783872,6.33802849554859
1883,624.196286449858,4427297.02245363,3.93859065872142,"Canada",3.93859065872142,NA,3579.65914200457,NA,140.98812058106,15848.2142607958,0.662246842797831
1884,597.30038136643,4484262.24373576,3.44626696855578,"Canada",3.44626696855578,NA,3865.03002436846,NA,133.199253054574,17331.8082091806,-12.499996390218
1885,566.017432637894,4534231.73608851,3.44626696855578,"Canada",3.44626696855578,NA,3622.23962623255,NA,124.832047760791,16424.073868981,0
1886,572.34996376266,4577205.49951188,3.42035480627991,"Canada",3.42035480627991,NA,3655.86448659616,NA,125.043536678372,16733.6430335181,-0.751890741846084
1887,623.735942875185,4623177.43247641,3.62764926099614,"Canada",3.62764926099614,NA,3719.0748484448,NA,134.914991255501,17193.9429090206,6.06061261058746
1888,643.362298205134,4675145.70452327,3.47217856213351,"Canada",3.47217856213351,NA,3963.31330525745,NA,137.613314935334,18529.0671747543,-4.28571473362194
1889,669.345681878901,4726114.58672307,3.54991391156482,"Canada",3.54991391156482,NA,3989.5912042353,NA,141.627053173716,18855.2651853985,2.23880621460764
1890,699.61914103903,4776084.07907582,3.47217856213351,"Canada",3.47217856213351,NA,4218.78766946971,NA,146.483841041259,20149.2846211557,-2.18978125576721
1891,718.079837029121,4830051.13081679,3.47217856213351,"Canada",3.47217856213351,NA,4281.7267956141,NA,148.669199886439,20680.9593510045,0
1892,714.793126806402,4880020.62316954,3.47217856213351,"Canada",3.47217856213351,NA,4218.48645651301,NA,146.47338238955,20586.3009063449,0
1893,696.54576076555,4927991.33582818,3.44626696855578,"Canada",3.44626696855578,NA,4101.38747048761,NA,141.3447616479,20211.6019194372,-0.746263278631698
1894,664.90658164331,4975962.04848682,3.16123716440823,"Canada",3.16123716440823,NA,4226.94399379385,NA,133.623724450532,21033.1128941975,-8.27068264728779
1895,646.540812377043,5022933.37129841,3.00576646554559,"Canada",3.00576646554559,NA,4282.36116947494,NA,128.717775965624,21510.0148261082,-4.91803337671257
1896,654.093100867073,5070904.08395705,3.16123716440823,"Canada",3.16123716440823,NA,4080.34695863066,NA,128.989444493033,20691.0480564819,5.17241444552541
1897,731.876874942317,5118874.79661569,3.1871493266841,"Canada",3.1871493266841,NA,4486.01897224453,NA,142.976123468812,22963.3694541623,0.81968422260783
1898,785.311433998008,5171842.4585096,3.31670786327087,"Canada",3.31670786327087,NA,4578.14362459338,NA,151.843649588722,23677.4375788271,4.06502875475754
1899,843.09424943531,5231805.8493329,3.21306092026182,"Canada",3.21306092026182,NA,5015.39968179669,NA,161.147847170745,26239.5973919663,-3.12499464172976
1900,926.155132781191,5297765.57923853,3.31670786327087,"Canada",3.31670786327087,NA,5270.88790491814,NA,174.819953606613,27923.9285147,3.22580074207239
1901,1011.18702154324,5367722.86853238,3.34261945684859,"Canada",3.34261945684859,NA,5635.78562012931,NA,188.382866684717,30251.335355314,0.781244373816259
1902,1142.79424802662,5490647.81972014,3.39444321270219,"Canada",3.39444321270219,NA,6131.62957211249,NA,208.134683838613,33666.618541451,1.55039353185762
1903,1202.5582760547,5647552.02570778,3.42035480627991,"Canada",3.42035480627991,NA,6225.50708532944,NA,212.934430808362,35158.8751508104,0.763353279287804
1904,1230.79744531611,5823444.63878946,3.47217856213351,"Canada",3.47217856213351,NA,6087.01796673631,NA,211.352132914233,35447.4121446056,1.51515730936582
1905,1389.75071328298,5998337.86202408,3.49809072440937,"Canada",3.49809072440937,NA,6623.30740962224,NA,231.689302145114,39728.8356069617,0.746279657344218
1906,1557.49746217181,6093279.8974943,3.57582550514255,"Canada",3.57582550514255,NA,7148.25278036308,NA,255.609046092284,43556.3049687941,2.22220596483529
1907,1764.21418298399,6407088.30946957,3.67947301684974,"Canada",3.67947301684974,NA,7483.5036842447,NA,275.35349877674,47947.4689691967,2.89856178826762
1908,1688.05539110582,6620957.73673934,3.75720836628106,"Canada",3.75720836628106,NA,6785.79283554424,NA,254.956376135569,44928.4475744071,2.11267616518289
1909,1876.42879843587,6795850.95997397,3.83494314701423,"Canada",3.83494314701423,NA,7199.94723907894,NA,276.113883233698,48929.7683564565,2.06895048544027
1910,2064.71748621669,6983736.25122031,3.93859065872142,"Canada",3.93859065872142,NA,7506.40443556229,NA,295.646543904907,52422.7487729573,2.70271312334542
1911,2279.43050761421,7202602.62772535,4.04223760173047,"Canada",4.04223760173047,NA,7829.1581100208,NA,316.473173022191,56390.3147761131,2.63157438764379
1912,2545.54277745124,7384491.57988936,4.22362046286897,"Canada",4.22362046286897,NA,8161.59264378072,NA,344.714696998731,60269.2121564856,4.48718949773905
1913,2706.40376635174,7627343.31272372,4.35317899945574,"Canada",4.35317899945574,NA,8151.03520716305,NA,354.829152876466,62170.7438791307,3.06747582378093
1914,2499.30733864426,7874192.60494631,4.37956204379562,"Canada",4.37956204379562,NA,7247.41194797072,NA,317.404902830834,57067.5175657105,0.606063852260053
1915,2744.27952915746,7976130.36934592,4.45255474452555,"Canada",4.45255474452555,NA,7727.28329145787,NA,344.061518816737,61633.8189335364,1.66666666666666
1916,3309.90296485561,7996118.16628702,4.89051094890511,"Canada",4.89051094890511,NA,8464.1202134968,NA,413.938725769551,67680.1054007789,9.83606557377048
1917,4074.57345036796,8055082.16726326,5.76642335766423,"Canada",5.76642335766423,NA,8772.14197511583,NA,505.838843820548,70660.324392457,17.910447761194
1918,4349.76908488573,8143028.4738041,6.4963503649635,"Canada",6.4963503649635,NA,8222.63115457276,NA,534.17092901969,66957.1196212746,12.6582278481013
1919,4457.86204323222,8305929.01887407,7.15328467153285,"Canada",7.15328467153285,NA,7502.96465178634,NA,536.70842034676,62319.0918288585,10.1123595505618
1920,5165.73470565662,8550779.53140254,8.32116788321168,"Canada",8.32116788321168,NA,7260.09168691051,NA,604.124417742918,62079.4433925401,16.3265306122449
1921,4158.22430840599,8782637.9759193,7.2992700729927,"Canada",7.2992700729927,3121000,6486.39659079187,18253.0192326697,473.45960516729,56967.6730251621,-12.280701754386
1922,4321.66158817672,8913558.0458835,6.71532846715328,"Canada",6.71532846715328,3230000,7219.92022339157,19924.2037145043,484.841358067171,64355.177997849,-8.00000000000001
1923,4649.63954329293,9004502.52196551,6.71532846715328,"Canada",6.71532846715328,3323000,7689.39731850379,20836.3519551195,516.368287082006,69239.1975468622,0
1924,4594.78516624973,9137421.37162382,6.56934306569343,"Canada",6.56934306569343,3344000,7654.54913584597,20915.9213110118,502.853592865794,69942.8408640236,-2.17391304347824
1925,5099.24721171642,9288329.23852913,6.64233576642336,"Canada",6.64233576642336,3423000,8265.09102148594,22427.3697323904,548.995097047606,76768.8865939724,1.11111111111111
1926,5456.05635222112,9445233.44451676,6.71532846715328,"Canada",6.71532846715328,3550000,8601.98915750264,22886.7030083984,577.651826635213,81247.7956798144,1.09890109890107
1927,5676.20979768295,9631119.95606899,6.64233576642336,"Canada",6.64233576642336,3690000,8872.80264540871,23158.543800666,589.361343600141,85455.0266244576,-1.08695652173911
1928,6175.34063585359,9828999.14578588,6.64233576642336,"Canada",6.64233576642336,3796000,9458.6857308056,24491.4156923987,628.277665330883,92969.4139683453,0
1929,6266.18448983557,10022880.7761145,6.71532846715328,"Canada",6.71532846715328,3848000,9309.86434161116,24249.3919796697,625.187970385567,93311.6603377688,1.09890109890107
1930,5838.50387389794,10201771.5587374,6.64233576642336,"Canada",6.64233576642336,3689000,8615.9893424918,23827.1496407203,572.302941727558,87898.3550246174,-1.08695652173911
1931,4790.22704199354,10370668.4428897,5.98540145985401,"Canada",5.98540145985401,3670000,7717.13438567541,21807.0414286275,461.901474179112,80031.8420430628,-9.8901098901099
1932,3893.01639423894,10503587.292548,5.47445255474453,"Canada",5.47445255474453,3470000,6770.29959582319,20493.4964845623,370.636839187401,71112.4328014314,-8.53658536585363
1933,3564.34537196707,10626512.2437358,5.18248175182482,"Canada",5.18248175182482,3449000,6472.18988575108,19941.0858407413,335.420059772501,68776.8050647166,-5.33333333333335
1934,4051.22760061205,10734446.3472177,5.25547445255474,"Canada",5.25547445255474,3707000,7181.16761854477,20794.6745378058,377.404429587754,77085.858511646,1.40845070422535
1935,4390.10579748865,10838382.8913114,5.32846715328467,"Canada",5.32846715328467,3777000,7601.65585342415,21813.5178044452,405.051735255448,82389.6567473896,1.38888888888891
1936,4730.00471182571,10943318.8252522,5.4014598540146,"Canada",5.4014598540146,3895000,8002.05198712647,22482.4149297479,432.227625582014,87569.0061513679,1.36986301369861
1937,5349.58021033201,11038260.8607224,5.62043795620438,"Canada",5.62043795620438,4115000,8622.81150122054,23130.2169388359,484.639770506556,95180.8427033098,4.05405405405406
1938,5381.22245160664,11145195.5743573,5.62043795620438,"Canada",5.62043795620438,4066000,8590.59200857498,23547.4245044464,482.828893912608,95743.8280350791,0
1939,5737.45284531125,11260125.4067686,5.62043795620438,"Canada",5.62043795620438,4120000,9065.79185702573,24777.1731120805,509.53720656276,102081.953221772,0
1940,6852.07631214631,11374055.8493329,5.83941605839416,"Canada",5.83941605839416,4184000,10316.6195418662,28045.364924834,602.430338211166,117341.806845506,3.89610389610389
1941,8453.58200762636,11499978.9700618,6.2043795620438,"Canada",6.2043795620438,4271000,11848.0087256203,31901.6275302605,735.095431881551,136251.851181742,6.25
1942,10477.6647317417,11646889.2775789,6.42335766423358,"Canada",6.42335766423358,4434000,14005.3009594347,36788.0445587969,899.610572576827,163118.189573706,3.52941176470589
1943,11281.9900905934,11787803.2460137,6.56934306569343,"Canada",6.56934306569343,4491000,14569.0385802798,38240.2494473215,957.090125711814,171736.960267921,2.27272727272727
1944,12093.4604716683,11938711.112919,6.64233576642336,"Canada",6.64233576642336,4485000,15250.0869820111,40594.5112430583,1012.96198201679,182066.382925117,1.11111111111111
1945,12108.7712335754,12064634.2336479,6.71532846715328,"Canada",6.71532846715328,4447000,14945.7823772625,40547.6495878959,1003.65837861909,180315.397717373,1.09890109890107
1946,12131.2270177058,12284500,6.86131386861314,"Canada",6.86131386861314,4666000,14392.6233060143,37892.4519937276,987.523058952808,176806.181002733,2.17391304347829
1947,13752.1263449348,12544750,7.51824817518248,"Canada",7.51824817518248,4832000,14581.1301115294,37855.2632381226,1096.24554853104,182916.631966608,9.57446808510636
1948,16225.3247516576,12816250,8.61313868613139,"Canada",8.61313868613139,4875000,14698.4313213138,38641.7990608796,1265.99627439053,188378.770421788,14.5631067961165
